cable_name,segment_id,segment_start_km,segment_end_km,depth_m,attenuation_db_km,osnr_db,bit_error_rate,anomaly_flag,last_test_date
EURASIA-1,EURASIA-1-SEG023,11000,11500,1369.0,0.1834,18.12,6.3e-13,False,2026-06-09
EURASIA-1,EURASIA-1-SEG024,11500,12000,3234.0,0.1894,18.11,7.5e-10,False,2026-06-23
EURASIA-1,EURASIA-1-SEG025,12000,12500,2747.0,0.1816,15.82,7e-10,False,2026-05-27
EURASIA-1,EURASIA-1-SEG026,12500,13000,3116.0,0.1866,18.24,5.3e-11,False,2026-06-09
EURASIA-1,EURASIA-1-SEG027,13000,13500,5458.0,0.1806,18.84,6e-10,False,2026-05-31
EURASIA-1,EURASIA-1-SEG028,13500,14000,2142.0,0.1867,18.0,5.3e-12,False,2026-06-08
AFRICA-WEST,AFRICA-WEST-SEG001,0,500,5385.0,0.1826,18.98,3e-11,False,2026-06-13
AFRICA-WEST,AFRICA-WEST-SEG002,500,1000,4515.0,0.1854,17.93,8e-11,False,2026-06-25
AFRICA-WEST,AFRICA-WEST-SEG003,1000,1500,2184.0,0.1914,17.97,2.8e-12,False,2026-06-15
AFRICA-WEST,AFRICA-WEST-SEG004,1500,2000,4389.0,0.1893,20.13,5.3e-10,False,2026-05-29
AFRICA-WEST,AFRICA-WEST-SEG005,2000,2500,1660.0,0.1797,17.88,5.7e-12,False,2026-06-20
AFRICA-WEST,AFRICA-WEST-SEG006,2500,3000,2525.0,0.1883,18.43,5.7e-11,False,2026-06-05
AFRICA-WEST,AFRICA-WEST-SEG007,3000,3500,3134.0,0.184,18.56,8.5e-10,False,2026-06-15
AFRICA-WEST,AFRICA-WEST-SEG008,3500,4000,3478.0,0.1874,18.77,2.2e-13,False,2026-06-07
AFRICA-WEST,AFRICA-WEST-SEG009,4000,4500,3542.0,0.1783,20.76,8.5e-11,False,2026-05-28
AFRICA-WEST,AFRICA-WEST-SEG010,4500,5000,5568.0,0.1801,18.35,7.7e-11,False,2026-05-30
AFRICA-WEST,AFRICA-WEST-SEG011,5000,5500,923.0,0.1977,19.13,1.4e-11,False,2026-06-01
AFRICA-WEST,AFRICA-WEST-SEG012,5500,6000,2144.0,0.1799,16.51,8.4e-11,False,2026-05-29
AFRICA-WEST,AFRICA-WEST-SEG013,6000,6500,2209.0,0.1914,17.52,2.8e-13,False,2026-06-26
AFRICA-WEST,AFRICA-WEST-SEG014,6500,7000,2824.0,0.1838,18.17,4.4e-11,False,2026-06-03
AFRICA-WEST,AFRICA-WEST-SEG015,7000,7500,5506.0,0.1904,16.29,1.1e-12,False,2026-06-01
AFRICA-WEST,AFRICA-WEST-SEG016,7500,8000,4049.0,0.1837,17.17,9e-13,False,2026-06-01
AFRICA-WEST,AFRICA-WEST-SEG017,8000,8500,3113.0,0.1816,18.68,2.7e-11,False,2026-06-18
MEDLINK-2,MEDLINK-2-SEG001,0,500,5409.0,0.2021,15.34,4.8e-11,True,2026-06-01
MEDLINK-2,MEDLINK-2-SEG002,500,1000,3476.0,0.1919,15.31,4.2e-10,False,2026-06-14
MEDLINK-2,MEDLINK-2-SEG003,1000,1500,3446.0,0.1833,18.05,8.6e-10,False,2026-05-30
MEDLINK-2,MEDLINK-2-SEG004,1500,2000,2365.0,0.1892,16.91,1.2e-13,False,2026-06-19
MEDLINK-2,MEDLINK-2-SEG005,2000,2500,1106.0,0.2097,17.53,2.8e-11,True,2026-05-31
MEDLINK-2,MEDLINK-2-SEG006,2500,3000,1540.0,0.1855,18.34,6.2e-13,False,2026-06-15
MEDLINK-2,MEDLINK-2-SEG007,3000,3500,1581.0,0.1838,18.05,7.8e-12,False,2026-05-31
MEDLINK-2,MEDLINK-2-SEG008,3500,4000,5015.0,0.1932,17.29,3.3e-11,False,2026-06-19
MEDLINK-2,MEDLINK-2-SEG009,4000,4500,5399.0,0.1866,17.0,8.1e-10,False,2026-06-05
MEDLINK-2,MEDLINK-2-SEG010,4500,5000,4941.0,0.1788,17.52,5.7e-11,False,2026-06-14
NORDIC-CONNECT,NORDIC-CONNECT-SEG001,0,500,1755.0,0.1786,20.61,4.5e-12,False,2026-06-18
NORDIC-CONNECT,NORDIC-CONNECT-SEG002,500,1000,1908.0,0.1899,18.46,4.4e-10,False,2026-05-27
NORDIC-CONNECT,NORDIC-CONNECT-SEG003,1000,1500,330.0,0.1865,16.45,3.1e-12,False,2026-06-15
NORDIC-CONNECT,NORDIC-CONNECT-SEG004,1500,2000,1008.0,0.1786,18.62,1.1e-13,False,2026-06-05
NORDIC-CONNECT,NORDIC-CONNECT-SEG005,2000,2500,5503.0,0.186,17.33,5.4e-12,False,2026-05-27
NORDIC-CONNECT,NORDIC-CONNECT-SEG006,2500,3000,3978.0,0.2027,16.63,2.1e-10,True,2026-06-23
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG001,0,500,5420.0,0.1863,19.68,6.3e-12,False,2026-06-21
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG002,500,1000,1217.0,0.1842,19.47,5.2e-12,False,2026-06-25
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG003,1000,1500,472.0,0.1876,17.63,5.8e-10,False,2026-06-07
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG004,1500,2000,1623.0,0.1774,17.54,6.8e-13,False,2026-06-15
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG005,2000,2500,1923.0,0.1803,21.66,8.5e-12,False,2026-06-13
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG006,2500,3000,4449.0,0.188,16.68,5e-10,False,2026-06-14
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG007,3000,3500,3662.0,0.1907,17.66,1.6e-11,False,2026-06-18
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG008,3500,4000,4423.0,0.1949,18.44,3e-10,False,2026-06-04
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG009,4000,4500,4951.0,0.1882,19.67,5.7e-13,False,2026-06-26
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG010,4500,5000,2294.0,0.1784,18.23,8e-11,False,2026-06-15
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG011,5000,5500,4447.0,0.1878,19.8,7.8e-13,False,2026-06-24
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG012,5500,6000,1648.0,0.1774,18.43,8.6e-12,False,2026-06-07
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG013,6000,6500,429.0,0.1871,18.75,5.5e-12,False,2026-06-05
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG014,6500,7000,5510.0,0.1872,18.24,8.6e-10,False,2026-06-03
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG015,7000,7500,2950.0,0.1851,18.54,7.6e-12,False,2026-06-10
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG016,7500,8000,415.0,0.178,19.1,1.6e-12,False,2026-06-05
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG017,8000,8500,4238.0,0.1913,17.43,3.5e-13,False,2026-06-16
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG018,8500,9000,3329.0,0.1817,19.75,8.1e-13,False,2026-06-04
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG019,9000,9500,3772.0,0.1854,19.78,7.4e-12,False,2026-06-09
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG020,9500,10000,5988.0,0.1911,17.68,4.8e-11,False,2026-06-20
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG021,10000,10500,3840.0,0.1828,20.24,6.9e-13,False,2026-06-05
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG022,10500,11000,1585.0,0.1835,17.53,3.4e-13,False,2026-06-05
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG023,11000,11500,1555.0,0.1848,18.78,6.4e-11,False,2026-06-07
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG024,11500,12000,1466.0,0.1842,17.51,8.6e-12,False,2026-06-14
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG025,12000,12500,2911.0,0.1794,18.96,2.9e-10,False,2026-06-17
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG026,12500,13000,5668.0,0.1908,20.45,2.8e-12,False,2026-06-20
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG027,13000,13500,1224.0,0.1819,17.83,3.8e-13,False,2026-06-01
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG028,13500,14000,535.0,0.1831,17.09,6.6e-12,False,2026-06-12
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG029,14000,14500,1093.0,0.1822,19.26,5.3e-13,False,2026-06-12
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG030,14500,15000,3639.0,0.1808,18.7,3.1e-11,False,2026-06-10
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG031,15000,15500,951.0,0.1864,18.9,5.4e-13,False,2026-06-01
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG032,15500,16000,705.0,0.1763,16.99,6.8e-11,False,2026-06-05
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG033,16000,16500,3076.0,0.1824,18.77,5e-10,False,2026-06-17
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG034,16500,17000,2987.0,0.191,18.91,6.4e-12,False,2026-06-24
INDO-PACIFIC-3,INDO-PACIFIC-3-SEG035,17000,17500,3481.0,0.1879,18.07,6.3e-11,False,2026-06-05
