project_id,cable_name,milestone,milestone_idx,planned_date,actual_date,delay_days,status,is_critical_path,total_float_days,is_critical,delay_impact,cascade_delay
GSN-2027,NORDIC-CONNECT,Wet Testing,11,2024-10-23,2024-11-11,19,Complete,False,19,True,19,130
GSN-2027,NORDIC-CONNECT,System Acceptance Test,12,2024-12-05,2025-01-02,28,Complete,True,28,True,28,158
GSN-2027,NORDIC-CONNECT,Ready for Service (RFS),13,2025-01-17,2025-02-24,38,Complete,True,38,True,38,196
GSN-2028,INDO-PACIFIC-3,Survey Complete,0,2023-09-08,2023-09-08,0,Complete,True,0,True,0,0
GSN-2028,INDO-PACIFIC-3,Environmental Impact Assessment,1,2023-10-20,2023-10-30,10,Complete,False,10,False,10,0
GSN-2028,INDO-PACIFIC-3,Marine License Granted,2,2023-12-02,2023-12-02,0,Complete,True,0,True,0,0
GSN-2028,INDO-PACIFIC-3,Cable Manufacturing Start,3,2024-01-14,2024-01-19,5,Complete,False,5,False,5,0
GSN-2028,INDO-PACIFIC-3,Cable Ship Mobilization,4,2024-02-26,2024-02-26,0,Complete,True,0,True,0,0
GSN-2028,INDO-PACIFIC-3,Shore Landing – Point A,5,2024-04-09,2024-04-09,0,Complete,True,0,True,0,0
GSN-2028,INDO-PACIFIC-3,Burial Complete – Segment 1,6,2024-05-22,2024-05-22,0,Complete,False,0,False,0,0
GSN-2028,INDO-PACIFIC-3,Burial Complete – Segment 2,7,2024-07-04,2024-07-04,0,Complete,False,0,False,0,0
GSN-2028,INDO-PACIFIC-3,Repeater Deployment,8,2024-08-15,2024-08-15,0,Complete,False,0,False,0,0
GSN-2028,INDO-PACIFIC-3,Shore Landing – Point B,9,2024-09-27,2024-09-29,2,Complete,True,2,True,2,2
GSN-2028,INDO-PACIFIC-3,Power Feed Equipment Install,10,2024-11-09,2024-11-19,10,Complete,False,10,False,10,2
GSN-2028,INDO-PACIFIC-3,Wet Testing,11,2024-12-22,2024-12-22,0,Complete,False,0,False,0,2
GSN-2028,INDO-PACIFIC-3,System Acceptance Test,12,2025-02-03,2025-02-03,0,Complete,True,0,True,0,2
GSN-2028,INDO-PACIFIC-3,Ready for Service (RFS),13,2025-03-18,2025-03-18,0,Complete,True,0,True,0,2
